Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,807.42,880.62,1070.63,1227.81,998.76,DEVYANI
Raw Material Cost,,,,,,248.75,273.07,326.08,374.87,301.04,DEVYANI
Change in Inventory,,,,,,,1.55,3.21,,,DEVYANI
Power and Fuel,,,,,,56.93,60.24,75.8,84.23,60.37,DEVYANI
Other Mfr. Exp,,,,,,32.32,35.13,65.62,51.55,41.95,DEVYANI
Employee Cost,,,,,,141.9,137.7,156.45,186.36,135.92,DEVYANI
Selling and admin,,,,,,193.9,267.13,323.64,314.64,246.97,DEVYANI
Other Expenses,,,,,,145.11,4.76,86.68,74.06,49.64,DEVYANI
Other Income,,,,,,11.27,17.14,8.53,17.64,91.06,DEVYANI
Depreciation,,,,,,56.03,48.05,56.44,174.58,191.47,DEVYANI
Interest,,,,,,16.37,18.57,29.55,120.23,127.77,DEVYANI
Profit before tax,,,,,,-72.62,54.66,-37.89,-135.07,-65.31,DEVYANI
Tax,,,,,,,,,,,DEVYANI
Net profit,,,,,,-72.62,54.67,-37.89,-135.07,-65.31,DEVYANI
