Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.01,,46.24,47.19,47.19,47.19,47.19,47.19,JSLHISAR
Reserves,,,,551.12,600.05,814.87,1208.82,1469.52,1789.06,2267.82,JSLHISAR
Borrowings,,,,855.57,1855.14,3389.73,2798.84,2181.2,2018.97,1376.26,JSLHISAR
Other Liabilities,,,,4371.52,2621.95,2059.23,2128.73,2073.14,1943.41,2320.13,JSLHISAR
Total,,,0.01,5778.21,5123.38,6311.02,6183.58,5771.05,5798.63,6011.4,JSLHISAR
Net Block,,,,2584.03,2341.78,2233.77,2101.98,1989.01,1891.07,1737.34,JSLHISAR
Capital Work in Progress,,,,28.97,52.93,40.54,63.08,90.33,105.5,181.93,JSLHISAR
Investments,,,,416.77,416.77,416.77,416.77,416.77,416.77,416.82,JSLHISAR
Other Assets,,,0.01,2748.44,2311.9,3619.94,3601.75,3274.94,3385.29,3675.31,JSLHISAR
Total,,,0.01,5778.21,5123.38,6311.02,6183.58,5771.05,5798.63,6011.4,JSLHISAR
Receivables,,,,923.41,774.51,1088.54,863.49,771.47,679.82,753.18,JSLHISAR
Inventory,,,,1296.21,1083.35,1539.87,1469.72,1310.65,1356.16,1438.57,JSLHISAR
Cash & Bank,,,0.01,2.14,15.41,8.03,7.24,18.93,18.78,7.96,JSLHISAR
No. of Equity Shares,,,10000.0,,231185445.0,235934685.0,235934685.0,235934685.0,235934685.0,235934685.0,JSLHISAR
New Bonus Shares,,,,,,,,,,,JSLHISAR
Face value,,,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,JSLHISAR
