Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,300.49,259.12,251.14,178.45,DEEPINDS
Raw Material Cost,,,,,,,,55.22,,,DEEPINDS
Change in Inventory,,,,,,,0.41,-1.1,11.36,9.03,DEEPINDS
Power and Fuel,,,,,,,0.98,0.63,0.21,1.0,DEEPINDS
Other Mfr. Exp,,,,,,,98.56,23.94,112.18,75.17,DEEPINDS
Employee Cost,,,,,,,23.13,20.6,21.56,21.75,DEEPINDS
Selling and admin,,,,,,,11.38,13.21,9.71,10.7,DEEPINDS
Other Expenses,,,,,,,4.56,3.16,2.25,0.42,DEEPINDS
Other Income,,,,,,,3.22,-4.44,-1.99,6.24,DEEPINDS
Depreciation,,,,,,,102.86,98.01,89.53,87.19,DEEPINDS
Interest,,,,,,,11.57,11.64,10.65,9.23,DEEPINDS
Profit before tax,,,,,,,51.08,27.17,14.42,-11.74,DEEPINDS
Tax,,,,,,,50.4,30.78,-2.95,-74.9,DEEPINDS
Net profit,,,,,,,0.68,-3.6,17.37,63.16,DEEPINDS
