Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,,,243.48,VINEETLAB
Raw Material Cost,,,,,,,,,,192.76,VINEETLAB
Change in Inventory,,,,,,,,,,-5.36,VINEETLAB
Power and Fuel,,,,,,,,,,7.03,VINEETLAB
Other Mfr. Exp,,,,,,,,,,21.2,VINEETLAB
Employee Cost,,,,,,,,,,6.15,VINEETLAB
Selling and admin,,,,,,,,,0.01,1.84,VINEETLAB
Other Expenses,,,,,,,,,,0.99,VINEETLAB
Other Income,,,,,,,,,,0.39,VINEETLAB
Depreciation,,,,,,,,,,1.81,VINEETLAB
Interest,,,,,,,,,,2.67,VINEETLAB
Profit before tax,,,,,,,,,-0.01,4.06,VINEETLAB
Tax,,,,,,,,,,2.28,VINEETLAB
Net profit,,,,,,,,,-0.01,1.78,VINEETLAB
