Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,10.36,18.1,34.87,32.88,27.56,38.42,49.63,76.13,70.15,REPL
Raw Material Cost,,,,,,,,,,,REPL
Change in Inventory,,,,,,2.38,0.49,2.53,,,REPL
Power and Fuel,,,,,,0.39,0.39,0.43,0.49,0.44,REPL
Other Mfr. Exp,,,,,,0.45,0.17,0.56,32.95,27.64,REPL
Employee Cost,,,,12.93,15.69,15.7,15.34,14.82,17.45,15.01,REPL
Selling and admin,,,,0.03,0.05,6.53,13.91,24.78,5.44,4.93,REPL
Other Expenses,,7.68,13.45,13.47,9.91,0.25,1.91,1.49,3.09,1.82,REPL
Other Income,,,,0.28,1.24,0.38,1.25,0.79,4.5,0.99,REPL
Depreciation,,,,1.29,0.85,0.59,0.45,0.51,1.21,1.84,REPL
Interest,,,,0.03,0.11,0.14,0.52,0.32,0.62,0.75,REPL
Profit before tax,,2.68,4.65,7.4,7.51,6.27,7.47,10.04,19.38,18.71,REPL
Tax,,0.9,1.53,2.72,2.23,2.12,2.2,2.57,5.63,4.95,REPL
Net profit,,1.78,3.12,4.68,5.29,4.14,5.26,7.46,13.75,13.76,REPL
