Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,126.17,2560.59,2893.7,3112.5,3506.6,4712.0,5181.3,4964.0,LTTS
Raw Material Cost,,,,,,,,,,,LTTS
Change in Inventory,,,,,,,,,,,LTTS
Power and Fuel,,,0.05,12.26,10.0,11.1,12.0,14.3,16.1,17.9,LTTS
Other Mfr. Exp,,,10.62,254.05,266.7,280.4,388.9,561.7,673.4,654.2,LTTS
Employee Cost,,,73.19,1440.21,1830.9,1973.8,2283.8,2767.8,2927.5,3003.7,LTTS
Selling and admin,,,22.6,437.39,228.0,192.99,225.0,434.72,439.3,324.9,LTTS
Other Expenses,,,0.13,12.39,24.7,50.01,45.9,69.08,93.8,25.3,LTTS
Other Income,,,-3.97,25.04,81.7,53.7,188.1,151.2,212.3,174.3,LTTS
Depreciation,,,1.12,47.09,54.1,57.5,57.6,73.1,153.4,173.7,LTTS
Interest,,,2.93,3.14,1.6,0.8,0.4,1.1,35.1,43.5,LTTS
Profit before tax,,,11.56,379.1,559.4,599.6,681.1,941.4,1055.0,895.1,LTTS
Tax,,,5.34,63.92,123.1,150.6,191.7,241.3,265.0,222.0,LTTS
Net profit,,,6.21,315.18,436.3,449.0,489.4,700.1,790.0,673.1,LTTS
