Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,34.44,47.78,54.9,45.42,47.34,ARVEE
Raw Material Cost,,,,,,19.86,28.76,38.19,30.24,29.07,ARVEE
Change in Inventory,,,,,,-1.86,-1.14,-1.03,1.07,-0.42,ARVEE
Power and Fuel,,,,,,1.06,1.27,1.54,1.5,1.72,ARVEE
Other Mfr. Exp,,,,,,2.4,3.19,2.44,1.72,1.63,ARVEE
Employee Cost,,,,,,2.54,2.78,2.74,2.79,3.54,ARVEE
Selling and admin,,,,,,0.68,3.24,2.64,3.95,4.82,ARVEE
Other Expenses,,,,,,0.14,0.23,0.15,0.27,0.07,ARVEE
Other Income,,,,,,0.51,0.23,0.35,0.35,0.56,ARVEE
Depreciation,,,,,,2.07,2.15,2.35,2.29,2.41,ARVEE
Interest,,,,,,3.48,3.33,1.63,0.99,0.58,ARVEE
Profit before tax,,,,,,0.86,1.92,2.54,3.09,3.64,ARVEE
Tax,,,,,,-0.7,0.83,0.28,0.8,0.96,ARVEE
Net profit,,,,,,1.55,1.09,2.26,2.3,2.68,ARVEE
