Report Date,Unnamed: 1,Unnamed: 2,2011-03-31 00:00:00,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,16.3,37.75,188.41,168.42,195.06,373.97,406.55,376.38,ROUTE
Raw Material Cost,,,10.83,20.02,121.19,100.86,137.76,325.27,354.72,305.66,ROUTE
Change in Inventory,,,0.01,0.04,,,,,,,ROUTE
Power and Fuel,,,0.1,0.12,0.41,0.39,0.48,0.46,0.36,0.33,ROUTE
Other Mfr. Exp,,,0.04,0.04,0.91,1.28,1.63,1.21,1.33,1.35,ROUTE
Employee Cost,,,2.11,3.92,10.67,18.31,21.93,21.1,22.69,29.05,ROUTE
Selling and admin,,,1.01,1.4,7.16,9.61,9.71,9.55,7.74,5.73,ROUTE
Other Expenses,,,0.01,0.01,3.43,2.3,3.06,1.61,5.48,3.84,ROUTE
Other Income,,,0.06,0.27,4.15,40.1,3.7,4.35,5.15,11.57,ROUTE
Depreciation,,,0.48,0.69,2.54,4.85,5.8,4.66,6.34,10.38,ROUTE
Interest,,,0.17,0.36,1.22,0.51,0.78,1.64,2.95,1.84,ROUTE
Profit before tax,,,1.62,11.5,45.03,70.41,17.61,12.82,10.09,29.77,ROUTE
Tax,,,0.57,3.83,15.8,18.81,6.66,3.84,2.54,7.44,ROUTE
Net profit,,,1.05,7.67,29.24,51.6,10.94,8.97,7.55,22.33,ROUTE
