Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,4127.06,3529.74,4474.84,4613.95,4904.84,4047.82,MAZDOCK
Raw Material Cost,,,,,2644.97,2140.07,2692.88,2557.12,2452.52,1881.91,MAZDOCK
Change in Inventory,,,,,,,,,,,MAZDOCK
Power and Fuel,,,,,30.61,28.68,22.62,19.26,16.52,11.37,MAZDOCK
Other Mfr. Exp,,,,,372.96,287.84,420.11,831.72,1141.05,995.31,MAZDOCK
Employee Cost,,,,,754.73,717.47,885.7,689.56,780.65,652.88,MAZDOCK
Selling and admin,,,,,78.79,111.08,217.25,146.84,184.51,232.65,MAZDOCK
Other Expenses,,,,,27.6,118.15,86.86,108.24,66.83,47.41,MAZDOCK
Other Income,,,,,759.63,764.56,611.81,664.17,599.93,491.45,MAZDOCK
Depreciation,,,,,43.81,39.39,50.21,64.33,68.75,59.65,MAZDOCK
Interest,,,,,3.9,3.9,14.49,36.04,35.83,28.17,MAZDOCK
Profit before tax,,,,,929.32,847.72,696.53,825.01,758.11,629.92,MAZDOCK
Tax,,,,,360.84,314.23,256.6,307.73,349.63,150.35,MAZDOCK
Net profit,,,,,568.48,533.49,439.93,517.28,408.48,479.57,MAZDOCK
