Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,0.24,13.69,16.38,4.44,,SPTL
Raw Material Cost,,,,,,0.24,13.58,4.34,0.16,,SPTL
Change in Inventory,,,,,,,,,,,SPTL
Power and Fuel,,,,,,,,,,,SPTL
Other Mfr. Exp,,,,,,,,,,,SPTL
Employee Cost,,,,,,,0.16,0.36,0.35,0.33,SPTL
Selling and admin,,,,,,0.79,1.61,13.34,1.39,0.98,SPTL
Other Expenses,,,,,,,0.01,5.67,14.01,0.02,SPTL
Other Income,,,,,,,5.09,8.6,-320.69,,SPTL
Depreciation,,,,,,,,,,,SPTL
Interest,,,,,,,,1.22,11.89,14.85,SPTL
Profit before tax,,,,,,-0.79,3.42,0.05,-344.05,-16.18,SPTL
Tax,,,,,,,,2.38,-23.92,-8.01,SPTL
Net profit,,,,,,-0.79,3.42,-2.33,-320.13,-8.17,SPTL
