Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,295.03,282.5,301.36,340.06,369.38,370.89,452.91,512.2,364.24,352.95,STERTOOLS
Raw Material Cost,141.69,124.89,126.01,149.87,142.62,137.77,173.95,225.66,123.35,136.54,STERTOOLS
Change in Inventory,7.09,-5.46,-4.54,2.55,-0.84,3.73,5.69,18.81,-14.03,15.26,STERTOOLS
Power and Fuel,20.26,21.89,23.62,27.27,30.81,27.37,34.98,37.93,28.19,30.73,STERTOOLS
Other Mfr. Exp,53.37,46.94,50.91,63.17,71.75,75.54,92.95,108.8,71.36,74.72,STERTOOLS
Employee Cost,24.9,24.39,27.03,28.97,33.5,32.47,35.92,38.11,36.78,36.83,STERTOOLS
Selling and admin,16.42,16.46,18.55,18.46,20.54,18.95,22.31,27.08,21.95,19.6,STERTOOLS
Other Expenses,9.51,7.34,9.08,8.28,7.44,6.84,7.82,7.49,7.2,6.56,STERTOOLS
Other Income,2.04,1.6,1.02,1.55,1.27,6.91,5.62,6.36,2.8,1.86,STERTOOLS
Depreciation,7.95,9.41,10.3,12.03,13.41,16.64,17.59,19.05,24.22,26.32,STERTOOLS
Interest,9.74,10.03,8.13,7.37,6.28,5.58,3.78,3.66,6.26,7.6,STERTOOLS
Profit before tax,20.32,17.29,24.21,28.74,43.46,60.37,74.92,69.59,33.7,31.17,STERTOOLS
Tax,5.56,6.42,8.58,7.52,15.05,21.17,26.26,24.73,4.65,6.76,STERTOOLS
Net profit,14.76,10.88,15.62,21.22,28.42,39.21,48.66,44.86,29.05,24.42,STERTOOLS
