Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.05,0.05,0.05,0.05,285.0,285.0,HEMIPROP
Reserves,,,,,-0.04,-0.05,-0.08,-0.21,-0.92,-8.37,HEMIPROP
Borrowings,,,,,1.0,1.0,1.0,1.0,3.91,41.0,HEMIPROP
Other Liabilities,,,,,0.33,0.16,0.39,0.31,1.17,760.95,HEMIPROP
Total,,,,,1.34,1.16,1.36,1.15,289.16,1078.58,HEMIPROP
Net Block,,,,,,,,,282.1,933.12,HEMIPROP
Capital Work in Progress,,,,,0.21,0.39,0.71,0.73,0.73,,HEMIPROP
Investments,,,,,,,,,,,HEMIPROP
Other Assets,,,,,1.13,0.77,0.65,0.42,6.33,145.46,HEMIPROP
Total,,,,,1.34,1.16,1.36,1.15,289.16,1078.58,HEMIPROP
Receivables,,,,,,,,,,,HEMIPROP
Inventory,,,,,,,,,,,HEMIPROP
Cash & Bank,,,,,1.12,0.75,0.59,0.33,3.2,139.09,HEMIPROP
No. of Equity Shares,,,,,50000.0,50000.0,50000.0,50000.0,285000000.0,285000000.0,HEMIPROP
New Bonus Shares,,,,,,,,,,,HEMIPROP
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,HEMIPROP
