Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,1347.87,1479.18,1619.94,2044.2,2633.24,3462.88,GLAND
Raw Material Cost,,,,,530.72,463.36,727.42,971.18,1108.93,1765.36,GLAND
Change in Inventory,,,,,-9.49,-46.37,66.67,114.15,6.9,273.49,GLAND
Power and Fuel,,,,,46.96,49.24,60.35,74.03,78.5,74.59,GLAND
Other Mfr. Exp,,,,,37.36,61.87,68.63,85.5,102.23,130.84,GLAND
Employee Cost,,,,,131.3,153.42,179.08,222.95,277.66,311.36,GLAND
Selling and admin,,,,,53.92,74.75,108.29,82.52,98.54,128.44,GLAND
Other Expenses,,,,,35.72,5.18,7.73,15.84,18.82,23.52,GLAND
Other Income,,,,,36.59,33.56,48.79,65.55,139.17,134.78,GLAND
Depreciation,,,,,63.46,74.15,78.21,81.96,94.59,98.78,GLAND
Interest,,,,,16.42,6.39,4.13,3.56,7.18,3.41,GLAND
Profit before tax,,,,,459.11,578.01,501.56,686.36,992.86,1334.85,GLAND
Tax,,,,,145.51,164.29,180.44,234.45,220.01,337.85,GLAND
Net profit,,,,,313.61,413.73,321.11,451.91,772.86,997.01,GLAND
