Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,74.99,75.16,75.53,78.37,78.9,79.45,83.79,83.99,84.12,95.27,JMFINANCIL
Reserves,1563.02,1544.29,1543.19,1564.81,1576.12,1646.07,2407.24,2397.96,2489.16,3407.59,JMFINANCIL
Borrowings,,0.07,0.47,122.26,426.39,206.58,0.86,1.29,0.72,0.6,JMFINANCIL
Other Liabilities,164.43,153.19,171.68,183.24,190.54,121.29,187.32,173.87,269.14,287.01,JMFINANCIL
Total,1802.44,1772.71,1790.87,1948.68,2271.95,2053.39,2679.21,2657.11,2843.14,3790.47,JMFINANCIL
Net Block,2.28,1.39,1.54,2.05,2.86,2.25,5.57,5.27,77.1,68.82,JMFINANCIL
Capital Work in Progress,0.03,,,,,,,,,,JMFINANCIL
Investments,1507.37,1470.45,1313.42,1661.61,1756.6,1769.15,2424.17,2388.79,2528.44,3021.36,JMFINANCIL
Other Assets,292.76,300.87,475.91,285.02,512.49,281.99,249.47,263.05,237.6,700.29,JMFINANCIL
Total,1802.44,1772.71,1790.87,1948.68,2271.95,2053.39,2679.21,2657.11,2843.14,3790.47,JMFINANCIL
Receivables,,,,,,,24.03,10.04,22.35,49.91,JMFINANCIL
Inventory,,,,,,,,,,,JMFINANCIL
Cash & Bank,123.46,133.73,217.13,33.22,12.54,11.73,42.74,15.29,21.93,15.14,JMFINANCIL
No. of Equity Shares,749869500.0,751614662.0,755343497.0,783723677.0,788985636.0,794525114.0,837880258.0,839931463.0,841224647.0,952722711.0,JMFINANCIL
New Bonus Shares,,,,,,,,,,,JMFINANCIL
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,JMFINANCIL
