Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,115.91,113.6,91.07,123.61,133.31,87.25,127.62,SHYAMCENT
Raw Material Cost,,,,35.35,29.46,24.14,33.72,43.04,29.16,43.12,SHYAMCENT
Change in Inventory,,,,7.8,-8.18,-0.44,-0.21,4.76,-3.08,-2.51,SHYAMCENT
Power and Fuel,,,,47.98,48.31,37.03,48.7,55.91,40.98,51.92,SHYAMCENT
Other Mfr. Exp,,,,10.07,6.4,5.09,8.32,8.24,4.29,5.62,SHYAMCENT
Employee Cost,,,,5.5,5.51,5.78,6.45,6.48,4.79,4.25,SHYAMCENT
Selling and admin,,,,6.52,7.13,6.75,6.47,5.5,3.35,4.45,SHYAMCENT
Other Expenses,,,,1.21,1.13,0.67,0.95,1.16,0.91,2.59,SHYAMCENT
Other Income,,,,-0.28,0.03,0.25,1.41,1.12,1.88,-9.13,SHYAMCENT
Depreciation,,,,4.64,2.94,2.15,2.5,2.76,2.29,1.86,SHYAMCENT
Interest,,,,3.35,2.98,1.12,1.72,1.3,0.4,0.8,SHYAMCENT
Profit before tax,,,,8.81,1.59,8.15,15.98,14.8,-0.12,1.37,SHYAMCENT
Tax,,,,3.49,0.52,2.72,5.54,4.32,-0.08,-1.43,SHYAMCENT
Net profit,,,,5.32,1.07,5.43,10.45,10.48,-0.03,2.8,SHYAMCENT
