Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,0.05,,32.28,32.28,31.38,31.36,DCAL
Reserves,,,,-0.61,0.29,4770.74,4759.3,4860.09,4764.47,4643.26,DCAL
Borrowings,,,,10.26,8.98,444.93,621.57,584.36,572.69,538.01,DCAL
Other Liabilities,,,,2.6,2.8,321.19,394.0,339.38,366.14,297.64,DCAL
Total,,,,12.3,12.12,5536.86,5807.15,5816.11,5734.68,5510.27,DCAL
Net Block,,,,,,1927.08,1852.83,1715.32,1632.53,1509.65,DCAL
Capital Work in Progress,,,,,,40.55,47.89,69.78,88.85,121.2,DCAL
Investments,,,,,,2761.19,2937.1,2906.69,2900.11,2911.71,DCAL
Other Assets,,,,12.3,12.12,808.04,969.33,1124.32,1113.19,967.71,DCAL
Total,,,,12.3,12.12,5536.86,5807.15,5816.11,5734.68,5510.27,DCAL
Receivables,,,,,,71.18,140.02,130.15,144.9,77.4,DCAL
Inventory,,,,,,151.8,169.09,222.61,213.64,184.4,DCAL
Cash & Bank,,,,0.01,0.6,40.31,21.29,47.35,65.13,50.32,DCAL
No. of Equity Shares,,,,50000.0,250000.0,,161394272.0,161394272.0,156863095.0,156783095.0,DCAL
New Bonus Shares,,,,,,,,,,,DCAL
Face value,,,,10.0,2.0,,2.0,2.0,2.0,2.0,DCAL
