Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,453.1,546.11,516.98,675.17,931.26,741.33,1003.23,INTELLECT
Raw Material Cost,,,,,,,,,,,INTELLECT
Change in Inventory,,,,,,,,,,,INTELLECT
Power and Fuel,,,,6.71,6.16,4.75,6.58,7.12,6.68,3.16,INTELLECT
Other Mfr. Exp,,,,19.56,28.73,21.81,47.73,170.67,133.45,140.79,INTELLECT
Employee Cost,,,,433.08,420.37,442.41,473.46,491.11,462.19,494.26,INTELLECT
Selling and admin,,,,65.72,63.02,80.3,86.42,98.4,97.59,56.98,INTELLECT
Other Expenses,,,,6.72,10.1,21.28,16.24,32.3,20.83,39.03,INTELLECT
Other Income,,,,22.04,17.47,31.46,31.57,61.51,28.04,14.22,INTELLECT
Depreciation,,,,17.06,19.05,22.61,25.14,34.94,48.57,50.01,INTELLECT
Interest,,,,0.08,0.58,11.43,15.96,15.43,19.82,10.64,INTELLECT
Profit before tax,,,,-73.79,15.57,-56.15,35.21,142.8,-19.76,222.58,INTELLECT
Tax,,,,-2.61,-10.75,,2.2,5.72,11.53,15.33,INTELLECT
Net profit,,,,-71.18,26.32,-56.15,33.0,137.09,-31.28,207.25,INTELLECT
