Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,12.73,25.46,SUVENPHAR
Reserves,,,,,,,,577.56,770.1,1039.73,SUVENPHAR
Borrowings,,,,,,,,82.79,186.2,143.04,SUVENPHAR
Other Liabilities,,,,,,,,122.67,141.85,150.6,SUVENPHAR
Total,,,,,,,,783.02,1110.88,1358.83,SUVENPHAR
Net Block,,,,,,,,270.9,356.74,441.16,SUVENPHAR
Capital Work in Progress,,,,,,,,111.07,101.71,96.32,SUVENPHAR
Investments,,,,,,,,7.13,276.32,426.24,SUVENPHAR
Other Assets,,,,,,,,393.92,376.11,395.11,SUVENPHAR
Total,,,,,,,,783.02,1110.88,1358.83,SUVENPHAR
Receivables,,,,,,,,147.5,117.2,102.38,SUVENPHAR
Inventory,,,,,,,,157.1,174.87,201.08,SUVENPHAR
Cash & Bank,,,,,,,,12.9,13.96,9.56,SUVENPHAR
No. of Equity Shares,,,,,,,,,127282478.0,254564956.0,SUVENPHAR
New Bonus Shares,,,,,,,,,,,SUVENPHAR
Face value,,,,,,,,,1.0,1.0,SUVENPHAR
