Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,39.65,59.35,84.99,62.05,82.52,170.72,107.38,SUVIDHAA
Raw Material Cost,,,,,,,,,153.67,93.78,SUVIDHAA
Change in Inventory,,,,,,,,,,-2.06,SUVIDHAA
Power and Fuel,,,,0.36,0.39,0.39,0.31,0.26,0.24,0.08,SUVIDHAA
Other Mfr. Exp,,,,0.17,0.45,0.38,0.17,1.28,0.21,0.3,SUVIDHAA
Employee Cost,,,,14.66,15.56,16.24,16.38,9.13,4.75,5.38,SUVIDHAA
Selling and admin,,,,32.83,60.1,78.81,53.18,6.56,2.85,1.0,SUVIDHAA
Other Expenses,,,,4.35,2.23,8.96,5.68,56.37,0.43,0.58,SUVIDHAA
Other Income,,,,3.79,3.65,3.1,7.37,0.33,1.61,7.17,SUVIDHAA
Depreciation,,,,1.69,1.89,1.74,1.47,2.87,7.03,17.49,SUVIDHAA
Interest,,,,0.02,0.61,1.93,3.49,0.59,0.32,0.22,SUVIDHAA
Profit before tax,,,,-10.64,-18.23,-20.36,-11.26,5.79,2.83,-6.34,SUVIDHAA
Tax,,,,,,,,,0.48,-0.48,SUVIDHAA
Net profit,,,,-10.63,-18.23,-20.36,-11.26,5.8,2.35,-5.86,SUVIDHAA
