Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,9.91,1718.76,318.13,1247.0,2473.0,ADANIGREEN
Raw Material Cost,,,,,,,,,,,ADANIGREEN
Change in Inventory,,,,,,,,249.33,165.0,2014.0,ADANIGREEN
Power and Fuel,,,,,,0.16,0.12,0.15,1.0,1.0,ADANIGREEN
Other Mfr. Exp,,,,,,0.27,1670.08,550.08,1382.0,4414.0,ADANIGREEN
Employee Cost,,,,,,19.96,16.6,25.71,29.0,16.0,ADANIGREEN
Selling and admin,,,,,0.01,8.92,9.12,23.5,40.0,26.0,ADANIGREEN
Other Expenses,,,,,0.12,0.76,1.42,13.23,1.0,1.0,ADANIGREEN
Other Income,,,,,,7.84,66.73,302.63,333.0,655.0,ADANIGREEN
Depreciation,,,,,0.01,10.15,9.3,8.34,3.0,4.0,ADANIGREEN
Interest,,,,,0.75,26.83,130.98,288.24,214.0,257.0,ADANIGREEN
Profit before tax,,,,,-0.89,-49.3,-52.13,-39.16,75.0,423.0,ADANIGREEN
Tax,,,,,,,-5.91,-4.18,-59.0,59.0,ADANIGREEN
Net profit,,,,,-0.89,-49.3,-46.22,-34.98,134.0,364.0,ADANIGREEN
