Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,4098.6,4571.41,5285.73,4276.09,4255.75,TIINDIA
Raw Material Cost,,,,,,2607.31,2837.87,3382.85,2376.11,2537.9,TIINDIA
Change in Inventory,,,,,,107.94,-0.05,26.41,-125.2,31.58,TIINDIA
Power and Fuel,,,,,,147.36,164.76,182.11,145.75,143.25,TIINDIA
Other Mfr. Exp,,,,,,379.64,399.1,403.34,332.65,338.72,TIINDIA
Employee Cost,,,,,,400.25,434.51,468.19,452.27,456.12,TIINDIA
Selling and admin,,,,,,261.94,317.7,323.27,230.7,217.52,TIINDIA
Other Expenses,,,,,,44.08,64.01,56.48,66.6,89.43,TIINDIA
Other Income,,,,,,31.06,26.16,59.41,61.91,24.86,TIINDIA
Depreciation,,,,,,121.25,128.3,140.2,160.71,149.64,TIINDIA
Interest,,,,,,74.27,58.58,53.03,30.15,20.57,TIINDIA
Profit before tax,,,,,,201.5,192.69,362.08,417.86,359.04,TIINDIA
Tax,,,,,,42.55,56.23,118.57,87.31,85.86,TIINDIA
Net profit,,,,,,158.95,136.46,243.51,330.55,273.18,TIINDIA
