Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.65,0.65,0.65,9.39,9.39,9.39,SANSERA
Reserves,,,,,430.83,485.4,588.77,692.49,771.43,867.55,SANSERA
Borrowings,,,,,289.93,362.14,497.88,546.64,596.8,484.41,SANSERA
Other Liabilities,,,,,129.66,194.59,236.87,340.02,317.3,368.46,SANSERA
Total,,,,,851.07,1042.78,1324.17,1588.54,1694.92,1729.81,SANSERA
Net Block,,,,,367.17,549.78,608.02,827.07,897.78,954.06,SANSERA
Capital Work in Progress,,,,,31.79,32.15,91.06,48.27,67.3,54.47,SANSERA
Investments,,,,,21.39,20.65,81.8,108.81,116.07,100.03,SANSERA
Other Assets,,,,,430.72,440.2,543.29,604.39,613.77,621.25,SANSERA
Total,,,,,851.07,1042.78,1324.17,1588.54,1694.92,1729.81,SANSERA
Receivables,,,,,155.85,197.31,240.56,248.85,244.93,291.35,SANSERA
Inventory,,,,,103.34,127.59,164.13,202.86,197.58,202.27,SANSERA
Cash & Bank,,,,,42.44,17.63,38.42,29.7,69.36,39.8,SANSERA
No. of Equity Shares,,,,,64740.0,64700.0,64740.0,46936500.0,46936500.0,46936500.0,SANSERA
New Bonus Shares,,,,,,,,,,,SANSERA
Face value,,,,,100.0,100.0,100.0,2.0,2.0,2.0,SANSERA
