Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.17,0.17,0.17,0.19,0.19,0.19,0.45,MEDPLUS
Reserves,,,,125.79,108.25,88.32,185.01,185.01,395.41,517.03,MEDPLUS
Borrowings,,,,43.03,43.03,43.03,,,2.56,7.31,MEDPLUS
Other Liabilities,,,,18.5,33.08,51.11,3.36,6.31,17.06,23.64,MEDPLUS
Total,,,,187.49,184.53,182.63,188.56,191.51,415.22,548.43,MEDPLUS
Net Block,,,,0.86,0.73,0.37,0.26,0.15,7.17,22.68,MEDPLUS
Capital Work in Progress,,,,,,,,,0.95,2.01,MEDPLUS
Investments,,,,152.62,177.32,177.32,180.72,186.03,381.09,408.5,MEDPLUS
Other Assets,,,,34.01,6.48,4.94,7.58,5.33,26.01,115.24,MEDPLUS
Total,,,,187.49,184.53,182.63,188.56,191.51,415.22,548.43,MEDPLUS
Receivables,,,,0.21,0.18,0.08,0.56,2.08,8.6,11.51,MEDPLUS
Inventory,,,,0.1,0.13,0.13,0.15,0.23,3.94,4.79,MEDPLUS
Cash & Bank,,,,30.08,1.75,0.27,4.28,0.53,10.74,86.68,MEDPLUS
No. of Equity Shares,,,,168233.0,168233.0,168233.0,213408.0,203735.0,203735.0,458409.0,MEDPLUS
New Bonus Shares,,,,,,,,,,,MEDPLUS
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MEDPLUS
