Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,102.8,399.82,489.49,571.17,703.46,787.05,453.27,BARBEQUE
Raw Material Cost,,,,40.78,147.4,174.23,192.58,236.63,275.3,164.16,BARBEQUE
Change in Inventory,,,,,,,,,,,BARBEQUE
Power and Fuel,,,,8.83,35.13,41.39,46.65,58.19,65.89,41.4,BARBEQUE
Other Mfr. Exp,,,,1.02,15.43,27.9,29.62,36.45,36.78,28.37,BARBEQUE
Employee Cost,,,,13.4,66.71,87.18,118.23,145.15,177.86,118.11,BARBEQUE
Selling and admin,,,,11.89,64.12,34.18,39.0,57.76,63.12,57.05,BARBEQUE
Other Expenses,,,,15.75,17.81,4.77,8.46,8.13,11.68,4.29,BARBEQUE
Other Income,,,,-1.49,0.49,1.55,10.4,-64.6,-73.56,42.61,BARBEQUE
Depreciation,,,,3.75,23.08,60.83,65.35,77.38,104.57,101.16,BARBEQUE
Interest,,,,3.6,9.72,42.05,49.19,47.29,63.16,70.59,BARBEQUE
Profit before tax,,,,2.29,20.91,18.51,32.49,-28.12,-84.87,-89.25,BARBEQUE
Tax,,,,0.44,8.15,6.42,12.39,8.89,7.8,-18.96,BARBEQUE
Net profit,,,,1.85,12.76,12.09,20.1,-37.02,-92.67,-70.29,BARBEQUE
