Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,0.05,0.05,10.0,10.0,10.0,10.0,10.0,GANGESSECU
Reserves,,,,,-0.04,36.47,36.54,44.9,41.16,54.65,GANGESSECU
Borrowings,,,,,,,,2.45,2.58,2.47,GANGESSECU
Other Liabilities,,,,,,1.82,1.88,0.36,0.4,0.33,GANGESSECU
Total,,,,0.05,0.01,48.29,48.42,57.71,54.14,67.45,GANGESSECU
Net Block,,,,,,0.66,0.62,0.59,0.53,0.51,GANGESSECU
Capital Work in Progress,,,,,,,,,,,GANGESSECU
Investments,,,,,,47.31,47.31,56.24,52.11,60.9,GANGESSECU
Other Assets,,,,0.05,0.01,0.32,0.49,0.88,1.5,6.04,GANGESSECU
Total,,,,0.05,0.01,48.29,48.42,57.71,54.14,67.45,GANGESSECU
Receivables,,,,,,,,,,,GANGESSECU
Inventory,,,,,,,,,,,GANGESSECU
Cash & Bank,,,,0.05,0.01,,0.12,0.57,1.07,5.28,GANGESSECU
No. of Equity Shares,,,,50000.0,50000.0,10003687.0,10003687.0,10003687.0,10003687.0,10003687.0,GANGESSECU
New Bonus Shares,,,,,,,,,,,GANGESSECU
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,GANGESSECU
