Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,1434.53,1380.35,1478.43,1558.92,1676.01,2046.9,2573.15,2498.15,2561.78,VARROC
Raw Material Cost,,994.96,939.78,982.02,1021.56,1078.42,1304.54,1699.37,1546.13,1746.22,VARROC
Change in Inventory,,12.02,15.43,11.19,16.38,6.72,1.05,24.45,-20.78,74.65,VARROC
Power and Fuel,,38.08,37.28,42.94,47.5,48.54,54.49,64.5,72.0,66.04,VARROC
Other Mfr. Exp,,111.43,118.72,124.18,146.57,150.19,165.96,192.59,192.25,185.65,VARROC
Employee Cost,,84.61,89.62,109.48,126.12,143.18,175.38,219.61,277.57,268.69,VARROC
Selling and admin,,49.31,65.15,69.54,79.62,84.4,109.19,120.82,99.69,95.97,VARROC
Other Expenses,,6.42,13.67,6.13,19.91,17.3,20.24,31.6,45.16,37.66,VARROC
Other Income,,14.83,3.63,19.37,16.18,32.45,28.77,51.48,71.83,111.42,VARROC
Depreciation,,56.07,62.08,80.28,81.93,96.28,101.61,107.52,143.76,154.36,VARROC
Interest,,51.89,46.61,424.8,-79.19,46.85,40.15,39.2,45.08,56.11,VARROC
Profit before tax,,68.61,26.5,-330.38,147.46,50.02,105.16,173.87,127.56,137.15,VARROC
Tax,,16.1,-0.53,8.58,4.78,8.01,35.33,54.33,23.69,44.99,VARROC
Net profit,,52.52,27.02,-338.96,142.68,42.0,69.83,119.54,103.87,92.16,VARROC
