Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,10.99,10.99,10.99,FLUOROCHEM
Reserves,,,,,,,,3493.58,3681.44,3453.8,FLUOROCHEM
Borrowings,,,,,,,,916.56,1674.12,1528.63,FLUOROCHEM
Other Liabilities,,,,,,,,409.68,590.08,869.47,FLUOROCHEM
Total,,,,,,,,4830.81,5956.63,5862.89,FLUOROCHEM
Net Block,,,,,,,,2193.44,2305.01,2265.98,FLUOROCHEM
Capital Work in Progress,,,,,,,,228.68,318.37,400.06,FLUOROCHEM
Investments,,,,,,,,429.28,346.01,175.37,FLUOROCHEM
Other Assets,,,,,,,,1979.41,2987.24,3021.48,FLUOROCHEM
Total,,,,,,,,4830.81,5956.63,5862.89,FLUOROCHEM
Receivables,,,,,,,,657.3,639.65,731.99,FLUOROCHEM
Inventory,,,,,,,,530.31,658.63,708.44,FLUOROCHEM
Cash & Bank,,,,,,,,31.24,9.83,14.31,FLUOROCHEM
No. of Equity Shares,,,,,,,,109850000.0,109850000.0,109850000.0,FLUOROCHEM
New Bonus Shares,,,,,,,,,,,FLUOROCHEM
Face value,,,,,,,,1.0,1.0,1.0,FLUOROCHEM
