Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,0.01,5.07,6.67,10.27,SILGO
Reserves,,,,,,,1.13,4.25,11.01,15.79,SILGO
Borrowings,,,,,,,2.6,,8.0,17.34,SILGO
Other Liabilities,,,,,,,5.29,1.3,1.27,1.76,SILGO
Total,,,,,,,9.03,10.62,26.95,45.16,SILGO
Net Block,,,,,,,0.45,0.37,0.39,0.31,SILGO
Capital Work in Progress,,,,,,,,,,,SILGO
Investments,,,,,,,,,,,SILGO
Other Assets,,,,,,,8.58,10.25,26.56,44.85,SILGO
Total,,,,,,,9.03,10.62,26.95,45.16,SILGO
Receivables,,,,,,,3.02,2.08,9.35,13.03,SILGO
Inventory,,,,,,,5.12,7.77,15.99,26.46,SILGO
Cash & Bank,,,,,,,0.27,0.1,0.26,0.1,SILGO
No. of Equity Shares,,,,,,,10000.0,5066000.0,6666000.0,10270000.0,SILGO
New Bonus Shares,,,,,,,,,,,SILGO
Face value,,,,,,,10.0,10.0,10.0,10.0,SILGO
