Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,57.29,59.71,60.46,124.96,115.92,83.48,82.29,79.99,39.22,37.54,HECPROJECT
Raw Material Cost,42.78,41.12,44.84,108.26,71.19,48.46,55.52,53.18,25.6,22.71,HECPROJECT
Change in Inventory,-0.34,-0.22,1.48,15.34,-14.68,-2.43,3.71,2.63,6.37,-0.93,HECPROJECT
Power and Fuel,0.08,0.18,0.24,0.04,0.04,0.18,0.2,0.26,0.22,0.19,HECPROJECT
Other Mfr. Exp,6.03,8.73,6.0,,,15.25,13.93,13.06,9.46,5.9,HECPROJECT
Employee Cost,1.67,2.31,2.81,3.68,3.31,3.36,3.17,4.77,4.02,2.9,HECPROJECT
Selling and admin,3.12,3.73,3.96,18.65,15.19,5.21,2.68,3.44,1.41,1.16,HECPROJECT
Other Expenses,,,0.02,3.37,4.91,0.93,2.55,2.14,1.75,1.45,HECPROJECT
Other Income,1.13,0.93,0.5,0.63,0.79,0.71,0.86,1.24,0.86,0.89,HECPROJECT
Depreciation,0.16,0.18,0.18,0.37,0.32,0.32,0.31,0.31,0.25,0.23,HECPROJECT
Interest,2.49,2.67,2.79,2.87,3.13,3.21,3.56,4.05,2.99,2.62,HECPROJECT
Profit before tax,1.75,1.5,1.6,3.69,3.94,4.84,4.94,2.65,0.75,0.34,HECPROJECT
Tax,0.62,0.44,0.59,1.22,1.39,1.68,1.59,0.69,0.21,0.03,HECPROJECT
Net profit,1.13,1.07,1.02,2.47,2.55,3.16,3.34,1.95,0.54,0.31,HECPROJECT
