Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,18.05,27.18,50.48,71.68,87.53,101.04,129.18,135.91,131.45,ICEMAKE
Raw Material Cost,,14.73,19.87,35.51,50.08,56.86,68.23,90.31,92.09,93.65,ICEMAKE
Change in Inventory,,1.45,0.55,-0.15,1.12,1.12,1.28,2.97,3.94,3.62,ICEMAKE
Power and Fuel,,0.1,0.13,0.2,0.2,0.26,2.02,2.89,2.85,3.48,ICEMAKE
Other Mfr. Exp,,0.97,1.73,3.28,4.85,6.13,5.45,7.53,8.03,7.46,ICEMAKE
Employee Cost,,0.9,1.64,3.7,4.65,6.94,7.93,9.47,10.95,10.12,ICEMAKE
Selling and admin,,1.02,1.56,3.41,5.35,7.12,5.01,6.74,10.39,7.56,ICEMAKE
Other Expenses,,0.21,0.42,0.28,0.75,1.43,1.28,1.44,1.44,2.28,ICEMAKE
Other Income,,0.01,,0.14,0.13,0.35,0.61,0.4,0.81,1.16,ICEMAKE
Depreciation,,0.65,0.69,1.39,1.52,1.61,1.49,2.24,3.95,3.55,ICEMAKE
Interest,,0.69,0.9,1.29,1.52,1.26,1.78,0.92,1.9,1.66,ICEMAKE
Profit before tax,,0.24,0.79,1.41,4.01,7.39,9.74,11.01,9.06,6.47,ICEMAKE
Tax,,0.08,0.27,0.48,1.36,2.38,3.1,3.18,2.39,1.98,ICEMAKE
Net profit,,0.17,0.54,0.93,2.64,5.02,6.63,7.83,6.67,4.49,ICEMAKE
