Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2012-03-31 00:00:00,2013-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,57.29,65.58,1440.04,1440.04,1440.04,1728.22,1728.31,UJJIVANSFB
Reserves,,,,185.45,255.76,0.04,6.9,179.59,1238.08,1246.71,UJJIVANSFB
Borrowings,,,,617.24,997.46,6497.81,7625.37,11545.53,14733.75,16383.09,UJJIVANSFB
Other Liabilities,,,,37.54,41.44,497.72,400.87,577.05,711.19,1022.35,UJJIVANSFB
Total,,,,897.52,1360.24,8435.61,9473.18,13742.21,18411.24,20380.46,UJJIVANSFB
Net Block,,,,11.16,11.14,136.6,194.14,282.35,279.87,275.94,UJJIVANSFB
Capital Work in Progress,,,,,,3.17,4.2,2.1,20.61,4.79,UJJIVANSFB
Investments,,,,0.1,0.1,1446.68,1232.48,1526.62,2396.14,2516.45,UJJIVANSFB
Other Assets,,,,886.26,1349.0,6849.16,8042.36,11931.14,15714.62,17583.28,UJJIVANSFB
Total,,,,897.52,1360.24,8435.61,9473.18,13742.21,18411.24,20380.46,UJJIVANSFB
Receivables,,,,,,,,,,,UJJIVANSFB
Inventory,,,,,,,,,,,UJJIVANSFB
Cash & Bank,,,,161.45,178.62,762.82,494.84,1094.46,1343.29,2577.5,UJJIVANSFB
No. of Equity Shares,,,,,,1440036800.0,1440036800.0,1440036800.0,1728223169.0,1728314205.0,UJJIVANSFB
New Bonus Shares,,,,,,,,,,,UJJIVANSFB
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,UJJIVANSFB
