Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,785.0,785.0,785.0,785.0,785.0,837.22,938.96,940.53,SBICARD
Reserves,,,-39.02,180.63,370.04,663.82,1568.06,2750.56,4402.26,5358.58,SBICARD
Borrowings,,,3497.69,4698.8,5928.13,8268.42,11412.82,13549.38,17572.75,18068.04,SBICARD
Other Liabilities,,,491.27,592.9,797.17,1047.74,1920.13,3009.01,2392.74,2645.71,SBICARD
Total,,,4734.94,6257.33,7880.34,10764.98,15686.01,20146.17,25306.71,27012.86,SBICARD
Net Block,,,1.4,1.62,2.06,23.85,241.76,196.22,310.91,308.1,SBICARD
Capital Work in Progress,,,,,,,35.06,20.17,23.66,10.07,SBICARD
Investments,,,,,,,,1.46,1.46,957.56,SBICARD
Other Assets,,,4733.54,6255.71,7878.28,10741.13,15409.19,19928.32,24970.68,25737.13,SBICARD
Total,,,4734.94,6257.33,7880.34,10764.98,15686.01,20146.17,25306.71,27012.86,SBICARD
Receivables,,,,,,25.28,23.0,148.82,54.45,56.82,SBICARD
Inventory,,,,,,,,,,,SBICARD
Cash & Bank,,,161.96,291.46,274.46,282.95,472.68,776.78,677.36,718.1,SBICARD
No. of Equity Shares,,,785000002.0,785000002.0,785000002.0,785000002.0,785000002.0,837222200.0,938956794.0,940525456.0,SBICARD
New Bonus Shares,,,,,,,,,,,SBICARD
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SBICARD
