Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2003-03-31 00:00:00,2004-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,1.4,1.4,,,63.92,60.59,IIFLSEC
Reserves,,,,,-2.31,-1.36,501.44,580.84,652.88,696.8,IIFLSEC
Borrowings,,,,,,,537.6,100.54,75.64,89.0,IIFLSEC
Other Liabilities,,,,,2.69,2.79,1095.76,1279.72,1092.63,2272.23,IIFLSEC
Total,,,,,1.78,2.83,2134.8,1961.1,1885.07,3118.62,IIFLSEC
Net Block,,,,,0.26,0.18,20.11,22.64,85.01,167.54,IIFLSEC
Capital Work in Progress,,,,,,,0.44,0.52,2.56,1.91,IIFLSEC
Investments,,,,,,0.02,187.13,189.16,247.36,95.02,IIFLSEC
Other Assets,,,,,1.52,2.63,1927.12,1748.78,1550.14,2854.15,IIFLSEC
Total,,,,,1.78,2.83,2134.8,1961.1,1885.07,3118.62,IIFLSEC
Receivables,,,,,0.92,1.64,13.4,8.44,18.69,28.96,IIFLSEC
Inventory,,,,,,,,,,,IIFLSEC
Cash & Bank,,,,,0.15,0.21,727.06,980.59,993.22,1653.05,IIFLSEC
No. of Equity Shares,,,,,1400000.0,1400000.0,,,319609462.0,302935330.0,IIFLSEC
New Bonus Shares,,,,,,,,,,,IIFLSEC
Face value,,,,,10.0,10.0,2.0,2.0,2.0,2.0,IIFLSEC
