Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.01,21.74,23.17,23.2,23.47,42.43,ARVINDFASN
Reserves,,,,,,855.28,1207.88,1318.14,1325.79,1752.55,ARVINDFASN
Borrowings,,,,,0.02,22.54,46.39,72.7,258.28,123.3,ARVINDFASN
Other Liabilities,,,,,,273.79,239.75,423.15,425.2,237.67,ARVINDFASN
Total,,,,,0.03,1173.35,1517.19,1837.19,2032.74,2155.95,ARVINDFASN
Net Block,,,,,,22.41,19.36,38.83,57.7,41.7,ARVINDFASN
Capital Work in Progress,,,,,,,0.02,7.43,,,ARVINDFASN
Investments,,,,,0.02,848.25,1141.2,1243.99,1301.48,1754.3,ARVINDFASN
Other Assets,,,,,0.01,302.69,356.61,546.94,673.56,359.95,ARVINDFASN
Total,,,,,0.03,1173.35,1517.19,1837.19,2032.74,2155.95,ARVINDFASN
Receivables,,,,,,34.32,37.73,147.39,185.97,119.59,ARVINDFASN
Inventory,,,,,,256.19,107.31,249.14,247.93,108.8,ARVINDFASN
Cash & Bank,,,,,0.01,0.13,8.08,1.19,8.22,0.72,ARVINDFASN
No. of Equity Shares,,,,,10000.0,108708200.0,115851454.0,57994673.0,58679364.0,113487487.0,ARVINDFASN
New Bonus Shares,,,,,,,,,,,ARVINDFASN
Face value,,,,,10.0,2.0,2.0,4.0,4.0,4.0,ARVINDFASN
