Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,25.1,62.6,63.9,114.0,RPSGVENT
Raw Material Cost,,,,,,,,,,,RPSGVENT
Change in Inventory,,,,,,,,,,,RPSGVENT
Power and Fuel,,,,,,,,,,,RPSGVENT
Other Mfr. Exp,,,,,,,4.35,7.34,8.21,6.67,RPSGVENT
Employee Cost,,,,,,,6.3,16.15,26.48,28.24,RPSGVENT
Selling and admin,,,,,,,11.74,25.14,22.99,23.27,RPSGVENT
Other Expenses,,,,,,,0.55,1.7,0.54,0.45,RPSGVENT
Other Income,,,,,,,2.23,61.91,170.16,115.29,RPSGVENT
Depreciation,,,,,,,,,0.07,0.54,RPSGVENT
Interest,,,,,,,,,,,RPSGVENT
Profit before tax,,,,,,,4.39,74.18,175.77,170.12,RPSGVENT
Tax,,,,,,,2.08,8.41,1.49,42.81,RPSGVENT
Net profit,,,,,,,2.3,65.78,174.29,127.3,RPSGVENT
