Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,21.54,27.26,33.44,35.01,TREJHARA
Raw Material Cost,,,,,,,,,,,TREJHARA
Change in Inventory,,,,,,,,,,,TREJHARA
Power and Fuel,,,,,,,0.22,0.28,0.88,0.21,TREJHARA
Other Mfr. Exp,,,,,,,0.9,5.91,4.27,4.1,TREJHARA
Employee Cost,,,,,,,17.64,18.79,22.73,20.91,TREJHARA
Selling and admin,,,,,,,2.06,3.44,4.62,2.47,TREJHARA
Other Expenses,,,,,,,0.84,0.8,0.33,1.28,TREJHARA
Other Income,,,,,,,6.5,13.16,7.32,1.64,TREJHARA
Depreciation,,,,,,,2.05,0.78,0.79,0.8,TREJHARA
Interest,,,,,,,2.18,2.17,2.69,1.91,TREJHARA
Profit before tax,,,,,,,2.15,8.25,4.45,4.97,TREJHARA
Tax,,,,,,,0.01,3.09,1.16,1.25,TREJHARA
Net profit,,,,,,,2.14,5.17,3.29,3.71,TREJHARA
