Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,1490.13,1568.2,1869.74,2074.8,2124.47,2194.02,HDFCAMC
Raw Material Cost,,,,,,,,,,,HDFCAMC
Change in Inventory,,,,,,,,,,,HDFCAMC
Power and Fuel,,,,,4.86,4.76,5.37,5.72,5.49,4.05,HDFCAMC
Other Mfr. Exp,,,,,29.45,33.26,346.58,263.09,38.03,26.55,HDFCAMC
Employee Cost,,,,,144.74,159.0,187.93,207.92,218.34,230.31,HDFCAMC
Selling and admin,,,,,571.27,555.42,234.77,159.57,125.16,90.22,HDFCAMC
Other Expenses,,,,,24.72,23.7,27.53,72.93,44.01,37.3,HDFCAMC
Other Income,,,,,4.22,19.71,0.03,21.98,18.96,7.72,HDFCAMC
Depreciation,,,,,11.06,11.96,9.36,12.85,50.37,55.41,HDFCAMC
Interest,,,,,,,,,8.98,8.95,HDFCAMC
Profit before tax,,,,,708.25,799.81,1058.23,1374.7,1653.05,1748.95,HDFCAMC
Tax,,,,,230.37,249.56,346.94,444.1,390.64,423.19,HDFCAMC
Net profit,,,,,477.88,550.25,711.29,930.6,1262.41,1325.76,HDFCAMC
