Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2016-03-31 00:00:00,2017-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,35.59,56.89,146.91,258.43,396.46,KRSNAA
Raw Material Cost,,,,,,11.38,14.54,17.34,,,KRSNAA
Change in Inventory,,,,,,,,,,,KRSNAA
Power and Fuel,,,,,,1.27,1.89,4.52,5.89,4.79,KRSNAA
Other Mfr. Exp,,,,,,0.31,0.37,6.28,39.38,96.43,KRSNAA
Employee Cost,,,,,,9.0,12.5,18.21,23.13,29.59,KRSNAA
Selling and admin,,,,,,9.2,12.18,18.03,102.73,142.75,KRSNAA
Other Expenses,,,,,,4.23,0.89,22.75,201.51,28.58,KRSNAA
Other Income,,,,,,3.17,3.82,2.31,12.95,264.51,KRSNAA
Depreciation,,,,,,4.75,9.86,25.56,32.41,37.44,KRSNAA
Interest,,,,,,5.92,6.22,15.89,24.66,25.94,KRSNAA
Profit before tax,,,,,,-7.3,2.26,20.64,-158.33,295.45,KRSNAA
Tax,,,,,,0.47,0.18,8.18,-46.38,110.53,KRSNAA
Net profit,,,,,,-7.77,2.07,12.47,-111.95,184.93,KRSNAA
