Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,407.96,519.87,561.18,831.92,1112.77,1140.55,466.41,FSC
Raw Material Cost,,,,,,375.28,,,,,FSC
Change in Inventory,,,,,,,,,,,FSC
Power and Fuel,,,,5.16,8.5,9.32,13.61,19.56,19.13,13.19,FSC
Other Mfr. Exp,,,,265.24,347.97,8.05,547.46,785.79,711.14,287.24,FSC
Employee Cost,,,,43.86,54.38,56.55,83.13,97.7,87.87,75.13,FSC
Selling and admin,,,,18.67,23.55,23.64,29.04,36.31,34.69,18.24,FSC
Other Expenses,,,,11.09,15.53,14.06,85.18,56.08,31.79,18.72,FSC
Other Income,,,,2.48,8.6,15.81,11.42,5.61,-73.07,25.45,FSC
Depreciation,,,,19.52,20.69,19.14,45.63,41.7,165.94,165.32,FSC
Interest,,,,10.33,13.26,12.76,8.7,16.08,80.81,98.38,FSC
Profit before tax,,,,36.57,44.59,58.19,30.59,65.16,-63.89,-184.36,FSC
Tax,,,,11.92,15.17,12.44,,,,,FSC
Net profit,,,,24.66,29.43,45.75,30.59,65.16,-63.88,-184.36,FSC
