Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,598.35,695.85,770.15,904.32,665.99,616.33,ROLEXRINGS
Raw Material Cost,,,,,293.61,322.32,371.63,452.94,313.74,316.59,ROLEXRINGS
Change in Inventory,,,,,5.31,-0.24,7.33,19.01,-15.59,29.16,ROLEXRINGS
Power and Fuel,,,,,56.95,59.75,66.44,71.49,54.18,52.06,ROLEXRINGS
Other Mfr. Exp,,,,,54.19,57.58,67.01,102.72,77.99,80.38,ROLEXRINGS
Employee Cost,,,,,38.23,44.34,54.51,60.81,52.66,51.87,ROLEXRINGS
Selling and admin,,,,,20.45,32.24,39.23,31.96,28.56,33.7,ROLEXRINGS
Other Expenses,,,,,30.87,26.27,17.52,2.32,1.78,2.03,ROLEXRINGS
Other Income,,,,,1.9,8.74,7.15,6.93,9.29,3.43,ROLEXRINGS
Depreciation,,,,,21.99,23.14,23.38,25.44,26.52,25.41,ROLEXRINGS
Interest,,,,,57.72,54.79,50.12,42.02,32.17,11.7,ROLEXRINGS
Profit before tax,,,,,31.55,83.92,94.79,140.56,72.09,75.18,ROLEXRINGS
Tax,,,,,6.94,7.41,21.2,81.52,19.15,-11.77,ROLEXRINGS
Net profit,,,,,24.61,76.51,73.6,59.04,52.94,86.96,ROLEXRINGS
