Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,98.56,104.52,111.16,118.32,66.38,77.52,AKG
Raw Material Cost,,,,,88.56,95.49,107.7,102.98,51.92,72.45,AKG
Change in Inventory,,,,,-0.16,-1.25,5.73,3.09,-7.85,0.09,AKG
Power and Fuel,,,,,0.03,0.03,0.03,0.08,0.08,0.1,AKG
Other Mfr. Exp,,,,,4.38,3.07,1.79,3.47,2.05,0.58,AKG
Employee Cost,,,,,1.25,1.0,1.1,1.45,1.33,0.83,AKG
Selling and admin,,,,,1.22,1.74,4.89,6.7,2.43,0.89,AKG
Other Expenses,,,,,0.06,-0.35,-0.55,3.53,0.28,0.39,AKG
Other Income,,,,,,0.66,0.53,0.61,3.23,0.2,AKG
Depreciation,,,,,0.35,0.32,0.18,0.49,0.58,0.17,AKG
Interest,,,,,1.95,1.92,0.8,1.81,1.58,0.94,AKG
Profit before tax,,,,,0.6,0.71,1.48,1.51,1.51,1.46,AKG
Tax,,,,,0.19,0.22,0.46,0.44,0.43,0.38,AKG
Net profit,,,,,0.41,0.49,1.02,1.07,1.09,1.07,AKG
