Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,8.53,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,7.57,SANDESH
Reserves,325.0,351.05,393.31,446.7,562.59,581.67,657.13,715.88,769.73,876.74,SANDESH
Borrowings,81.65,67.68,56.16,10.02,14.25,1.99,0.37,0.37,0.1,0.1,SANDESH
Other Liabilities,99.05,80.27,89.77,84.37,117.57,94.59,87.38,69.45,54.59,75.16,SANDESH
Total,514.23,506.57,546.81,548.66,701.98,685.82,752.45,793.27,831.99,959.57,SANDESH
Net Block,78.21,74.6,68.47,70.77,72.6,125.7,137.57,132.22,128.0,119.93,SANDESH
Capital Work in Progress,1.5,0.22,0.25,0.71,0.32,10.81,0.22,0.25,0.33,0.06,SANDESH
Investments,145.88,158.92,158.92,170.62,392.87,284.9,387.38,497.32,418.64,508.2,SANDESH
Other Assets,288.64,272.83,319.17,306.56,236.19,264.41,227.28,163.48,285.02,331.38,SANDESH
Total,514.23,506.57,546.81,548.66,701.98,685.82,752.45,793.27,831.99,959.57,SANDESH
Receivables,62.14,50.1,51.16,56.45,63.19,65.48,70.54,73.51,67.65,50.8,SANDESH
Inventory,30.35,25.16,31.48,60.6,23.3,43.55,44.08,24.65,23.29,31.77,SANDESH
Cash & Bank,5.26,27.32,38.02,20.88,72.57,121.22,82.78,24.31,14.65,18.73,SANDESH
No. of Equity Shares,8529421.0,7569421.0,7569421.0,7569421.0,7569421.0,7569421.0,7569421.0,7569421.0,7569421.0,7569421.0,SANDESH
New Bonus Shares,,,,,,,,,,,SANDESH
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SANDESH
