Report Date,Unnamed: 1,Unnamed: 2,2014-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,7.05,16.14,138.64,229.95,378.12,632.74,841.24,494.45,BURGERKING
Raw Material Cost,,,3.31,7.0,59.67,92.23,143.85,230.08,301.49,175.64,BURGERKING
Change in Inventory,,,,,,,,,,,BURGERKING
Power and Fuel,,,0.55,1.12,10.73,21.25,32.45,47.23,70.37,51.81,BURGERKING
Other Mfr. Exp,,,0.6,0.82,4.58,10.9,18.21,24.72,35.61,26.51,BURGERKING
Employee Cost,,,11.66,6.04,35.41,51.26,70.43,96.86,136.59,117.77,BURGERKING
Selling and admin,,,10.7,5.59,51.72,53.96,99.04,148.86,186.99,103.72,BURGERKING
Other Expenses,,,5.36,0.49,9.95,7.01,6.02,6.01,6.18,4.02,BURGERKING
Other Income,,,0.92,0.4,4.02,6.96,10.62,11.4,1.24,20.77,BURGERKING
Depreciation,,,0.64,0.99,8.9,44.77,64.04,82.21,116.37,127.55,BURGERKING
Interest,,,,,,27.37,36.94,46.45,65.45,82.12,BURGERKING
Profit before tax,,,-24.85,-5.51,-38.3,-71.84,-82.24,-38.28,-76.57,-173.92,BURGERKING
Tax,,,,,,,,,,,BURGERKING
Net profit,,,-24.84,-5.51,-38.29,-71.85,-82.23,-38.28,-76.57,-173.91,BURGERKING
