Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,126.32,126.79,126.79,126.79,126.79,126.79,126.79,UTIAMC
Reserves,,,,1209.49,1451.8,1687.17,2045.91,2281.07,2467.84,2754.09,UTIAMC
Borrowings,,,,,,,,,,,UTIAMC
Other Liabilities,,,,267.41,165.33,190.02,272.69,231.55,336.3,376.2,UTIAMC
Total,,,,1603.22,1743.92,2003.98,2445.39,2639.41,2930.93,3257.08,UTIAMC
Net Block,,,,189.04,184.04,277.6,272.27,267.37,370.57,357.35,UTIAMC
Capital Work in Progress,,,,,2.9,3.12,5.41,0.88,1.04,5.13,UTIAMC
Investments,,,,1122.92,1331.08,1557.98,1979.7,2117.18,2269.12,2566.16,UTIAMC
Other Assets,,,,291.26,225.9,165.28,188.01,253.98,290.2,328.44,UTIAMC
Total,,,,1603.22,1743.92,2003.98,2445.39,2639.41,2930.93,3257.08,UTIAMC
Receivables,,,,7.96,15.91,12.26,30.12,8.62,24.22,19.22,UTIAMC
Inventory,,,,,,,,,,,UTIAMC
Cash & Bank,,,,3.32,4.28,3.13,2.37,8.83,0.55,25.64,UTIAMC
No. of Equity Shares,,,,126320000.0,126790000.0,126790000.0,126790000.0,126790000.0,126790000.0,126790000.0,UTIAMC
New Bonus Shares,,,,,,,,,,,UTIAMC
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,UTIAMC
