Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,1783.28,3900.89,4079.66,4478.91,4511.97,4749.95,CROMPTON
Raw Material Cost,,,,,1307.92,2756.02,2814.34,3115.11,3191.31,3268.64,CROMPTON
Change in Inventory,,,,,37.68,22.53,14.79,23.29,126.29,38.2,CROMPTON
Power and Fuel,,,,,5.37,8.63,6.81,6.15,5.61,4.56,CROMPTON
Other Mfr. Exp,,,,,30.16,68.02,76.74,83.57,77.71,76.68,CROMPTON
Employee Cost,,,,,100.49,232.2,282.65,291.88,310.95,336.58,CROMPTON
Selling and admin,,,,2.05,168.75,340.57,337.02,361.52,371.09,341.55,CROMPTON
Other Expenses,,,,0.81,-1.21,33.34,45.85,58.18,84.73,55.45,CROMPTON
Other Income,,,,,-10.08,16.97,30.75,48.26,58.87,75.63,CROMPTON
Depreciation,,,,,6.27,11.04,12.61,12.89,26.79,29.69,CROMPTON
Interest,,,,,35.45,65.53,63.74,59.6,40.67,42.91,CROMPTON
Profit before tax,,,,-2.86,157.68,425.04,485.44,561.56,588.27,707.72,CROMPTON
Tax,,,,-0.99,52.49,141.87,161.65,159.04,93.57,102.98,CROMPTON
Net profit,,,,-1.87,105.19,283.17,323.79,402.52,494.7,604.74,CROMPTON
