Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,451.02,659.62,811.88,807.17,1215.23,DPABHUSHAN
Raw Material Cost,,,,,,418.66,651.22,779.21,789.95,1196.65,DPABHUSHAN
Change in Inventory,,,,,,4.55,39.02,25.33,46.35,64.24,DPABHUSHAN
Power and Fuel,,,,,,,0.41,0.53,0.67,0.65,DPABHUSHAN
Other Mfr. Exp,,,,,,6.81,7.99,10.59,7.17,7.99,DPABHUSHAN
Employee Cost,,,,,,5.57,8.85,9.4,11.29,12.88,DPABHUSHAN
Selling and admin,,,,,,6.76,7.19,9.31,10.61,12.49,DPABHUSHAN
Other Expenses,,,,,,,1.08,0.3,-0.51,-2.53,DPABHUSHAN
Other Income,,,,,,2.69,0.17,0.04,0.43,0.11,DPABHUSHAN
Depreciation,,,,,,1.2,1.31,1.83,2.99,3.95,DPABHUSHAN
Interest,,,,,,11.67,9.51,9.62,9.54,10.81,DPABHUSHAN
Profit before tax,,,,,,7.59,11.25,16.46,22.24,36.69,DPABHUSHAN
Tax,,,,,,2.69,3.1,4.66,5.57,9.24,DPABHUSHAN
Net profit,,,,,,4.9,8.15,11.79,16.68,27.46,DPABHUSHAN
