Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,2730.55,2496.39,2523.61,FLUOROCHEM
Raw Material Cost,,,,,,,,840.39,857.46,798.92,FLUOROCHEM
Change in Inventory,,,,,,,,117.48,74.71,43.56,FLUOROCHEM
Power and Fuel,,,,,,,,500.79,476.29,437.88,FLUOROCHEM
Other Mfr. Exp,,,,,,,,287.16,314.09,317.25,FLUOROCHEM
Employee Cost,,,,,,,,172.13,190.95,202.6,FLUOROCHEM
Selling and admin,,,,,,,,182.97,182.72,180.25,FLUOROCHEM
Other Expenses,,,,,,,,80.5,144.35,44.25,FLUOROCHEM
Other Income,,,,,,,,75.62,195.23,178.01,FLUOROCHEM
Depreciation,,,,,,,,161.62,176.07,184.56,FLUOROCHEM
Interest,,,,,,,,55.71,101.38,109.19,FLUOROCHEM
Profit before tax,,,,,,,,642.38,323.02,470.28,FLUOROCHEM
Tax,,,,,,,,-603.8,133.08,698.46,FLUOROCHEM
Net profit,,,,,,,,1246.18,189.95,-228.17,FLUOROCHEM
