Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,12.97,14.1,27.67,17.39,19.86,9.76,16.62,SUMIT
Raw Material Cost,,,,,,,1.95,2.75,5.47,4.3,SUMIT
Change in Inventory,,,,,,,-1.73,0.18,8.94,-17.41,SUMIT
Power and Fuel,,,,,,,0.11,,0.09,0.06,SUMIT
Other Mfr. Exp,,,,,,,1.89,4.78,2.99,2.7,SUMIT
Employee Cost,,,,,,,1.71,2.12,2.29,1.61,SUMIT
Selling and admin,,,,,,,1.0,1.12,1.25,1.16,SUMIT
Other Expenses,,,,11.08,12.17,25.26,0.28,0.26,0.27,1.47,SUMIT
Other Income,,,,,,,1.29,1.06,0.83,0.53,SUMIT
Depreciation,,,,,,,0.66,0.52,0.46,0.4,SUMIT
Interest,,,,,,,4.82,3.44,3.08,2.68,SUMIT
Profit before tax,,,,1.89,1.93,2.41,4.53,6.11,3.63,-14.64,SUMIT
Tax,,,,0.62,0.65,0.77,1.29,1.53,0.9,4.43,SUMIT
Net profit,,,,1.26,1.28,1.64,3.25,4.59,2.74,-19.08,SUMIT
