Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,367.71,360.67,738.3,751.97,735.3,1280.46,ANGELONE
Raw Material Cost,,,,,,,,,,,ANGELONE
Change in Inventory,,,,,,,,,,,ANGELONE
Power and Fuel,,,,,5.77,4.99,4.82,4.62,4.59,1.62,ANGELONE
Other Mfr. Exp,,,,,12.72,16.78,21.15,269.2,254.62,400.96,ANGELONE
Employee Cost,,,,,96.24,109.48,115.1,151.57,151.2,164.65,ANGELONE
Selling and admin,,,,,48.12,244.13,345.55,111.15,100.15,207.09,ANGELONE
Other Expenses,,,,,140.19,7.82,14.96,22.36,44.66,55.98,ANGELONE
Other Income,,,,,13.26,110.66,13.46,10.68,6.86,8.44,ANGELONE
Depreciation,,,,,9.69,9.69,12.49,18.16,20.15,17.42,ANGELONE
Interest,,,,,28.67,50.41,88.71,66.72,49.82,43.0,ANGELONE
Profit before tax,,,,,39.57,28.03,148.98,118.87,116.97,398.18,ANGELONE
Tax,,,,,14.09,7.33,47.12,42.18,30.34,107.78,ANGELONE
Net profit,,,,,25.48,20.7,101.85,76.7,86.62,290.4,ANGELONE
