Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,0.41,9.22,VINEETLAB
Reserves,,,,,,,,,-0.01,17.4,VINEETLAB
Borrowings,,,,,,,,,,12.48,VINEETLAB
Other Liabilities,,,,,,,,,,69.64,VINEETLAB
Total,,,,,,,,,0.4,108.74,VINEETLAB
Net Block,,,,,,,,,,19.67,VINEETLAB
Capital Work in Progress,,,,,,,,,,,VINEETLAB
Investments,,,,,,,,,,0.12,VINEETLAB
Other Assets,,,,,,,,,0.4,88.95,VINEETLAB
Total,,,,,,,,,0.4,108.74,VINEETLAB
Receivables,,,,,,,,,,42.71,VINEETLAB
Inventory,,,,,,,,,,39.69,VINEETLAB
Cash & Bank,,,,,,,,,,2.1,VINEETLAB
No. of Equity Shares,,,,,,,,,410000.0,9219008.0,VINEETLAB
New Bonus Shares,,,,,,,,,,,VINEETLAB
Face value,,,,,,,,,10.0,10.0,VINEETLAB
