Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2012-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,30.01,37.67,65.34,74.29,82.74,53.52,47.2,SINTERCOM
Raw Material Cost,,,,12.34,13.64,18.09,20.55,27.69,17.04,19.07,SINTERCOM
Change in Inventory,,,,,,0.31,-0.84,4.18,0.02,1.4,SINTERCOM
Power and Fuel,,,,,,4.56,4.72,6.1,4.0,3.57,SINTERCOM
Other Mfr. Exp,,,,,,15.48,16.86,19.34,13.12,10.75,SINTERCOM
Employee Cost,,,,,,6.06,6.43,6.87,6.21,6.17,SINTERCOM
Selling and admin,,,,,,7.65,5.89,7.65,5.0,4.26,SINTERCOM
Other Expenses,,,,11.74,16.34,0.59,1.31,0.65,0.62,0.78,SINTERCOM
Other Income,,,,,,0.56,0.31,0.46,0.09,0.48,SINTERCOM
Depreciation,,,,2.44,3.49,5.6,6.02,7.0,6.81,6.23,SINTERCOM
Interest,,,,4.08,5.82,6.04,5.38,4.44,4.27,4.44,SINTERCOM
Profit before tax,,,,-0.59,-1.62,2.14,6.6,7.64,-3.44,-6.19,SINTERCOM
Tax,,,,,-0.57,0.87,1.14,2.14,-0.56,-1.49,SINTERCOM
Net profit,,,,-0.59,-1.05,1.27,5.45,5.5,-2.87,-4.7,SINTERCOM
