Report Date,Unnamed: 1,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,12.15,29.87,38.77,95.03,95.34,112.33,125.01,125.72,127.07,RPPL
Raw Material Cost,,6.95,17.63,26.11,51.18,52.97,62.95,72.99,72.27,73.17,RPPL
Change in Inventory,,0.25,-0.47,3.32,-0.04,3.31,-1.67,0.08,1.76,3.73,RPPL
Power and Fuel,,0.71,1.6,2.31,3.66,4.16,4.25,4.15,5.4,5.56,RPPL
Other Mfr. Exp,,1.51,3.19,4.19,8.24,7.57,2.88,8.93,10.24,10.96,RPPL
Employee Cost,,0.68,2.34,3.26,7.0,7.41,8.82,10.69,11.8,12.6,RPPL
Selling and admin,,0.56,1.65,2.17,4.84,4.66,9.8,7.66,8.55,9.27,RPPL
Other Expenses,,0.34,0.21,0.36,0.38,1.41,1.42,2.0,1.54,1.88,RPPL
Other Income,,0.08,0.65,0.24,0.48,1.09,0.65,2.5,2.28,3.02,RPPL
Depreciation,,0.27,0.89,2.82,4.16,4.86,5.24,5.56,7.06,7.17,RPPL
Interest,,,0.1,1.37,3.97,2.92,2.4,2.05,1.4,1.0,RPPL
Profit before tax,,1.46,2.44,-0.26,12.04,13.78,13.55,13.56,11.5,12.21,RPPL
Tax,,0.34,0.52,-0.22,4.1,4.9,3.99,3.04,2.24,3.39,RPPL
Net profit,,1.12,1.92,-0.03,7.94,8.87,9.56,10.51,9.26,8.82,RPPL
