Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,,,0.05,15.93,JUBLINGREA
Reserves,,,,,,,,,-0.17,1559.92,JUBLINGREA
Borrowings,,,,,,,,,,781.72,JUBLINGREA
Other Liabilities,,,,,,,,,0.17,882.4,JUBLINGREA
Total,,,,,,,,,0.05,3239.97,JUBLINGREA
Net Block,,,,,,,,,,1726.83,JUBLINGREA
Capital Work in Progress,,,,,,,,,,64.82,JUBLINGREA
Investments,,,,,,,,,,134.89,JUBLINGREA
Other Assets,,,,,,,,,0.05,1313.43,JUBLINGREA
Total,,,,,,,,,0.05,3239.97,JUBLINGREA
Receivables,,,,,,,,,,480.29,JUBLINGREA
Inventory,,,,,,,,,,520.62,JUBLINGREA
Cash & Bank,,,,,,,,,0.05,85.65,JUBLINGREA
No. of Equity Shares,,,,,,,,,500000.0,159281139.0,JUBLINGREA
New Bonus Shares,,,,,,,,,,,JUBLINGREA
Face value,,,,,,,,,1.0,1.0,JUBLINGREA
