Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,18.0,18.0,18.0,18.0,18.0,ABSLAMC
Reserves,,,,,,973.08,1161.54,1245.17,1328.08,1705.18,ABSLAMC
Borrowings,,,,,,,,,60.32,58.46,ABSLAMC
Other Liabilities,,,,,,252.6,339.2,205.31,187.98,215.8,ABSLAMC
Total,,,,,,1243.68,1518.74,1468.48,1594.38,1997.44,ABSLAMC
Net Block,,,,,,16.27,25.01,29.85,84.05,75.97,ABSLAMC
Capital Work in Progress,,,,,,2.43,0.41,2.29,0.98,1.09,ABSLAMC
Investments,,,,,,974.92,1214.97,1212.32,1332.38,1795.27,ABSLAMC
Other Assets,,,,,,250.06,278.35,224.02,176.97,125.11,ABSLAMC
Total,,,,,,1243.68,1518.74,1468.48,1594.38,1997.44,ABSLAMC
Receivables,,,,,,40.27,39.79,21.9,35.72,24.61,ABSLAMC
Inventory,,,,,,,,,,,ABSLAMC
Cash & Bank,,,,,,14.19,11.27,5.19,9.65,10.34,ABSLAMC
No. of Equity Shares,,,,,,18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,ABSLAMC
New Bonus Shares,,,,,,,,,,,ABSLAMC
Face value,,,,,,10.0,10.0,10.0,10.0,10.0,ABSLAMC
