Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,27.72,27.72,27.72,27.72,47.15,572.98,SONACOMS
Reserves,,,,,167.1,211.97,297.96,398.55,1083.71,652.08,SONACOMS
Borrowings,,,,,148.52,157.87,161.32,145.26,329.6,386.71,SONACOMS
Other Liabilities,,,,,72.55,91.22,127.37,166.86,105.53,152.87,SONACOMS
Total,,,,,415.89,488.78,614.37,738.39,1565.99,1764.64,SONACOMS
Net Block,,,,,124.49,105.24,164.57,274.69,363.94,433.92,SONACOMS
Capital Work in Progress,,,,,4.03,5.66,12.2,13.17,50.04,76.03,SONACOMS
Investments,,,,,158.88,161.89,173.53,172.78,860.4,859.99,SONACOMS
Other Assets,,,,,128.49,215.99,264.07,277.75,291.61,394.7,SONACOMS
Total,,,,,415.89,488.78,614.37,738.39,1565.99,1764.64,SONACOMS
Receivables,,,,,66.45,119.5,141.81,152.1,133.44,247.86,SONACOMS
Inventory,,,,,38.67,54.49,72.38,67.78,61.41,99.77,SONACOMS
Cash & Bank,,,,,1.15,2.47,2.07,25.61,58.49,0.11,SONACOMS
No. of Equity Shares,,,,,27718376.0,27718376.0,27718376.0,27716376.0,47153944.0,572980560.0,SONACOMS
New Bonus Shares,,,,,,,,,,,SONACOMS
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,SONACOMS
