Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,352.32,258.29,279.51,303.31,344.83,378.05,587.27,1036.28,1409.49,1443.83,SPANDANA
Raw Material Cost,,,,,,,,,,,SPANDANA
Change in Inventory,,,,,,,,,,,SPANDANA
Power and Fuel,,,0.91,1.0,0.88,0.88,0.94,1.22,1.45,1.66,SPANDANA
Other Mfr. Exp,4.07,2.26,2.02,,,,,4.5,4.18,7.61,SPANDANA
Employee Cost,158.23,88.72,67.76,70.74,57.21,58.19,76.18,130.9,167.95,167.45,SPANDANA
Selling and admin,23.33,16.34,22.42,25.92,22.5,25.79,22.1,20.0,21.47,31.56,SPANDANA
Other Expenses,155.65,1319.48,19.89,6.77,138.68,110.84,-32.56,50.67,282.04,652.09,SPANDANA
Other Income,4.52,14.36,0.96,22.09,250.82,21.61,0.23,5.43,31.93,20.92,SPANDANA
Depreciation,4.12,2.95,3.13,3.31,3.7,8.33,5.72,6.92,8.74,7.49,SPANDANA
Interest,281.28,5.52,99.96,111.77,129.44,150.04,232.39,358.12,357.45,419.26,SPANDANA
Profit before tax,-269.84,-1162.62,64.38,105.89,243.24,45.59,282.73,469.38,598.14,177.63,SPANDANA
Tax,,,0.07,0.78,,-397.83,94.75,160.64,261.44,48.66,SPANDANA
Net profit,-269.84,-1162.62,64.31,105.1,243.24,443.41,187.97,308.75,336.69,128.98,SPANDANA
