Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,188.04,193.28,218.43,231.08,273.32,269.58,79.92,LEMONTREE
Raw Material Cost,,,,13.28,13.08,12.41,14.56,16.49,15.19,3.84,LEMONTREE
Change in Inventory,,,,,,,,,,,LEMONTREE
Power and Fuel,,,,17.52,17.05,18.0,19.09,21.89,20.59,9.51,LEMONTREE
Other Mfr. Exp,,,,17.09,17.77,21.47,20.57,23.98,20.82,6.18,LEMONTREE
Employee Cost,,,,48.01,47.22,50.3,50.93,57.65,61.48,25.34,LEMONTREE
Selling and admin,,,,55.72,52.42,55.58,57.01,61.85,41.23,18.47,LEMONTREE
Other Expenses,,,,6.55,0.65,0.81,0.88,0.41,2.3,0.87,LEMONTREE
Other Income,,,,39.14,3.38,10.5,12.29,12.04,5.1,1.12,LEMONTREE
Depreciation,,,,22.76,21.84,21.2,19.77,19.84,24.26,22.51,LEMONTREE
Interest,,,,46.18,42.58,41.26,34.29,34.8,48.16,48.19,LEMONTREE
Profit before tax,,,,0.07,-15.95,7.9,26.27,48.45,40.65,-53.87,LEMONTREE
Tax,,,,1.11,0.39,1.29,4.13,-14.79,8.45,-13.14,LEMONTREE
Net profit,,,,-1.04,-16.34,6.61,22.14,63.24,32.2,-40.73,LEMONTREE
