Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,242.99,245.46,279.13,ANUP
Raw Material Cost,,,,,,,,121.12,142.93,140.4,ANUP
Change in Inventory,,,,,,,,5.37,32.56,-7.67,ANUP
Power and Fuel,,,,,,,,2.09,1.79,1.58,ANUP
Other Mfr. Exp,,,,,,,,25.14,30.8,29.25,ANUP
Employee Cost,,,,,,,,15.48,16.24,17.97,ANUP
Selling and admin,,,,,,,0.01,15.94,13.0,7.68,ANUP
Other Expenses,,,,,,,,3.64,3.49,4.13,ANUP
Other Income,,,,,,,,4.52,4.07,3.31,ANUP
Depreciation,,,,,,,,7.93,8.92,10.51,ANUP
Interest,,,,,,,,2.75,1.92,1.55,ANUP
Profit before tax,,,,,,,-0.01,58.79,63.0,61.7,ANUP
Tax,,,,,,,,16.8,20.03,7.94,ANUP
Net profit,,,,,,,-0.01,41.99,42.97,53.76,ANUP
