Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1.29,6.07,20.1,38.83,59.66,94.29,144.61,263.67,410.83,489.12,HOMEFIRST
Raw Material Cost,,,,,,,,,,,HOMEFIRST
Change in Inventory,,,,,,,,,,,HOMEFIRST
Power and Fuel,,,,,,0.1,0.17,0.31,0.51,0.34,HOMEFIRST
Other Mfr. Exp,,,,,,0.06,0.06,0.19,0.12,0.17,HOMEFIRST
Employee Cost,,,4.09,6.33,8.58,14.39,22.15,43.17,61.08,66.13,HOMEFIRST
Selling and admin,,,3.1,4.55,3.66,8.69,14.26,20.29,28.56,23.68,HOMEFIRST
Other Expenses,3.2,5.02,0.65,0.98,3.6,2.8,3.88,10.66,21.01,37.01,HOMEFIRST
Other Income,0.75,0.87,,,2.45,,1.67,7.35,8.85,0.04,HOMEFIRST
Depreciation,0.06,0.1,0.14,0.3,0.38,0.52,0.9,4.58,7.24,7.62,HOMEFIRST
Interest,0.13,2.89,9.82,21.94,36.87,54.06,66.54,126.54,193.83,220.16,HOMEFIRST
Profit before tax,-1.35,-1.07,2.3,4.73,9.02,13.67,38.32,65.28,107.33,134.05,HOMEFIRST
Tax,-0.01,,-0.23,1.37,3.02,4.9,13.12,19.56,27.78,33.9,HOMEFIRST
Net profit,-1.34,-1.07,2.54,3.36,6.01,8.77,25.2,45.72,79.55,100.14,HOMEFIRST
