Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,,,396.64,451.44,503.11,SHIL
Raw Material Cost,,,,,,,,274.79,311.5,321.55,SHIL
Change in Inventory,,,,,,,,22.16,26.32,-6.18,SHIL
Power and Fuel,,,,,,,,1.4,1.87,0.72,SHIL
Other Mfr. Exp,,,,,,,,1.75,2.17,1.56,SHIL
Employee Cost,,,,,,,,44.89,49.8,50.59,SHIL
Selling and admin,,,,,,,0.03,101.69,91.6,83.58,SHIL
Other Expenses,,,,,,,0.02,9.54,12.37,11.41,SHIL
Other Income,,,,,,,,0.44,29.05,38.87,SHIL
Depreciation,,,,,,,,5.54,21.83,15.38,SHIL
Interest,,,,,,,,8.23,13.13,14.94,SHIL
Profit before tax,,,,,,,-0.05,-28.59,2.54,36.07,SHIL
Tax,,,,,,,,-9.8,-6.24,17.42,SHIL
Net profit,,,,,,,-0.05,-18.79,8.78,18.65,SHIL
