Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,213.73,370.37,404.69,444.47,709.17,115.58,397.69,747.85,IIFLWAM
Raw Material Cost,,,,,,,,,,,IIFLWAM
Change in Inventory,,,,,,,,,,,IIFLWAM
Power and Fuel,,,0.92,0.72,0.95,1.02,,,,,IIFLWAM
Other Mfr. Exp,,,6.04,8.79,31.17,3.61,36.34,1.23,5.53,4.73,IIFLWAM
Employee Cost,,,70.1,97.58,134.65,162.97,274.11,33.47,37.31,38.38,IIFLWAM
Selling and admin,,,66.82,101.45,69.79,112.82,104.08,21.87,25.73,16.62,IIFLWAM
Other Expenses,,,2.02,1.66,5.51,5.37,22.54,113.34,60.23,4.7,IIFLWAM
Other Income,,,,0.18,,0.3,9.6,219.65,13.03,18.9,IIFLWAM
Depreciation,,,0.71,1.03,2.94,8.36,12.68,12.9,11.39,11.57,IIFLWAM
Interest,,,5.44,11.51,16.53,17.87,61.16,14.49,47.79,25.13,IIFLWAM
Profit before tax,,,61.68,147.81,143.15,132.75,207.86,137.93,222.74,665.62,IIFLWAM
Tax,,,20.75,48.63,39.75,46.32,49.55,-13.85,29.26,25.25,IIFLWAM
Net profit,,,40.93,99.18,103.41,86.44,158.31,151.78,193.48,640.37,IIFLWAM
