Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,394.36,392.05,597.51,710.39,610.51,828.6,MFL
Raw Material Cost,,,,,178.56,175.61,235.41,256.67,279.37,386.52,MFL
Change in Inventory,,,,,-0.7,2.87,-3.01,1.32,4.29,1.2,MFL
Power and Fuel,,,,,23.74,22.91,30.89,27.46,30.27,27.93,MFL
Other Mfr. Exp,,,,,16.5,26.21,23.81,22.23,40.37,65.26,MFL
Employee Cost,,,,,11.96,14.08,36.06,47.18,44.02,53.61,MFL
Selling and admin,,,,,13.18,7.97,4.67,16.35,8.46,9.0,MFL
Other Expenses,,,,,0.83,4.07,12.01,36.0,18.14,26.16,MFL
Other Income,,,,,1.73,0.86,7.76,15.93,2.26,2.19,MFL
Depreciation,,,,,44.05,55.43,55.27,54.1,44.3,73.54,MFL
Interest,,,,,18.82,14.45,8.97,25.36,11.14,29.11,MFL
Profit before tax,,,,,87.75,75.05,195.17,242.29,140.99,160.86,MFL
Tax,,,,,20.57,8.51,39.69,59.48,28.99,60.02,MFL
Net profit,,,,,67.18,66.54,155.47,182.81,112.0,100.84,MFL
