Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,0.05,10.19,10.2,9.83,ANUP
Reserves,,,,,,,-0.01,278.02,312.72,327.56,ANUP
Borrowings,,,,,,,,7.38,,,ANUP
Other Liabilities,,,,,,,,100.82,99.14,93.56,ANUP
Total,,,,,,,0.04,396.41,422.06,430.95,ANUP
Net Block,,,,,,,,173.03,171.27,211.78,ANUP
Capital Work in Progress,,,,,,,,1.69,12.29,1.53,ANUP
Investments,,,,,,,,,44.23,0.01,ANUP
Other Assets,,,,,,,0.04,221.69,194.27,217.63,ANUP
Total,,,,,,,0.04,396.41,422.06,430.95,ANUP
Receivables,,,,,,,,69.53,64.39,110.31,ANUP
Inventory,,,,,,,,88.46,106.18,66.78,ANUP
Cash & Bank,,,,,,,0.02,0.18,2.03,23.61,ANUP
No. of Equity Shares,,,,,,,50000.0,10193962.0,10199518.0,9831150.0,ANUP
New Bonus Shares,,,,,,,,,,,ANUP
Face value,,,,,,,10.0,10.0,10.0,10.0,ANUP
