Report Date,Unnamed: 1,Unnamed: 2,2011-03-31 00:00:00,2012-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,2.0,2.0,20.0,50.0,50.0,50.0,50.0,57.71,ROUTE
Reserves,,,0.82,6.16,8.46,30.27,33.74,33.8,24.32,287.03,ROUTE
Borrowings,,,0.16,0.33,0.23,17.58,25.29,20.84,40.73,11.58,ROUTE
Other Liabilities,,,3.53,8.55,55.34,25.86,50.41,116.8,208.97,233.07,ROUTE
Total,,,6.51,17.04,84.03,123.71,159.44,221.44,324.02,589.39,ROUTE
Net Block,,,5.46,8.14,9.66,17.27,13.79,11.19,13.08,37.09,ROUTE
Capital Work in Progress,,,,,,,,2.13,,1.05,ROUTE
Investments,,,,0.26,0.62,14.09,24.02,34.7,38.4,49.3,ROUTE
Other Assets,,,1.05,8.64,73.75,92.35,121.63,173.42,272.54,501.95,ROUTE
Total,,,6.51,17.04,84.03,123.71,159.44,221.44,324.02,589.39,ROUTE
Receivables,,,,0.66,15.75,23.31,52.7,96.43,111.8,98.3,ROUTE
Inventory,,,0.03,0.07,,,,,,,ROUTE
Cash & Bank,,,0.86,7.8,25.2,49.56,19.51,9.07,58.95,321.95,ROUTE
No. of Equity Shares,,,2000000.0,2000000.0,20000000.0,50000000.0,50000000.0,50000000.0,50000000.0,57713583.0,ROUTE
New Bonus Shares,,,1950000.0,,,,,30000000.0,30000000.0,30000000.0,ROUTE
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ROUTE
